FlyBase_FBgn	FlyBase_FBtr	FlyBase_FBpp
FBgn0031282	FBtr0078010	FBpp0077675
FBgn0031282	FBtr0332972	FBpp0305188
FBgn0031283	FBtr0078040	FBpp0077704
FBgn0031284	FBtr0078039	FBpp0077703
FBgn0031285	FBtr0078012	FBpp0077677
FBgn0031285	FBtr0100469	FBpp0099899
FBgn0031285	FBtr0301908	FBpp0291122
FBgn0031285	FBtr0305507	FBpp0293959
FBgn0031286	FBtr0078038	FBpp0077702
FBgn0031287	FBtr0078034	FBpp0077698
FBgn0031287	FBtr0334797	FBpp0306844
FBgn0031288	FBtr0078017	FBpp0077682
FBgn0031288	FBtr0334795	FBpp0306842
FBgn0031288	FBtr0334796	FBpp0306843
FBgn0031289	FBtr0078018	FBpp0077683
FBgn0031289	FBtr0445832	FBpp0402782
FBgn0031292	FBtr0332181	FBpp0304490
FBgn0031292	FBtr0345634	FBpp0311698
FBgn0031294	FBtr0301416	FBpp0290630
FBgn0031294	FBtr0301417	FBpp0290631
FBgn0031294	FBtr0332270	FBpp0304559
FBgn0031295	FBtr0077997	FBpp0077662
FBgn0031296	FBtr0077951	FBpp0077616
FBgn0031296	FBtr0301087	FBpp0290309
FBgn0031298	FBtr0077953	FBpp0077618
FBgn0031298	FBtr0332569	FBpp0304824
FBgn0031299	FBtr0332570	FBpp0304825
FBgn0031299	FBtr0332571	FBpp0304826
FBgn0031301	FBtr0077954	FBpp0077619
FBgn0031302	FBtr0077955	FBpp0077620
FBgn0031304	FBtr0077956	FBpp0077621
FBgn0031305	FBtr0077986	FBpp0077651
FBgn0031306	FBtr0077957	FBpp0077622
FBgn0031306	FBtr0332271	FBpp0304560
FBgn0031307	FBtr0077958	FBpp0077623
FBgn0031309	FBtr0077985	FBpp0077650
FBgn0031310	FBtr0077960	FBpp0077625
FBgn0031312	FBtr0077961	FBpp0077626
FBgn0031312	FBtr0331287	FBpp0303723
FBgn0031313	FBtr0077981	FBpp0077646
FBgn0031313	FBtr0077982	FBpp0077647
FBgn0031313	FBtr0331289	FBpp0303725
FBgn0031314	FBtr0077962	FBpp0077627
FBgn0031315	FBtr0077964	FBpp0077629
FBgn0031317	FBtr0077979	FBpp0077644
FBgn0031318	FBtr0077966	FBpp0077631
FBgn0031318	FBtr0331288	FBpp0303724
FBgn0031319	FBtr0077968	FBpp0077633
FBgn0031319	FBtr0308698	FBpp0300904
FBgn0031319	FBtr0335394	FBpp0307377
FBgn0031319	FBtr0335395	FBpp0307378
FBgn0031319	FBtr0344790	FBpp0311118
FBgn0031320	FBtr0077978	FBpp0077643
FBgn0031321	FBtr0077971	FBpp0077636
FBgn0031322	FBtr0077972	FBpp0077637
FBgn0031322	FBtr0307056	FBpp0297899
FBgn0031322	FBtr0307057	FBpp0297900
FBgn0031322	FBtr0335379	FBpp0307363
FBgn0031323	FBtr0077977	FBpp0077642
FBgn0031324	FBtr0114498	FBpp0112990
FBgn0031327	FBtr0077920	FBpp0077586
FBgn0031327	FBtr0335383	FBpp0307367
FBgn0031331	FBtr0305552	FBpp0294003
FBgn0031331	FBtr0343837	FBpp0310385
FBgn0031332	FBtr0077948	FBpp0077613
FBgn0031332	FBtr0343845	FBpp0310391
FBgn0031333	FBtr0077947	FBpp0077612
FBgn0031335	FBtr0077944	FBpp0077609
FBgn0031337	FBtr0077926	FBpp0077592
FBgn0031337	FBtr0343838	FBpp0310386
FBgn0031337	FBtr0343839	FBpp0310387
FBgn0031343	FBtr0077936	FBpp0077601
FBgn0031343	FBtr0077937	FBpp0077602
FBgn0031343	FBtr0077938	FBpp0077603
FBgn0031343	FBtr0077939	FBpp0077604
FBgn0031343	FBtr0334821	FBpp0306855
FBgn0031343	FBtr0334822	FBpp0306856
FBgn0031344	FBtr0077933	FBpp0077598
FBgn0031344	FBtr0334820	FBpp0306854
FBgn0031345	FBtr0077919	FBpp0077585
FBgn0031347	FBtr0077917	FBpp0077583
FBgn0031351	FBtr0077876	FBpp0077544
FBgn0031356	FBtr0077912	FBpp0077578
FBgn0031357	FBtr0077882	FBpp0077550
FBgn0031357	FBtr0333542	FBpp0305722
FBgn0031359	FBtr0077910	FBpp0077576
FBgn0031359	FBtr0305618	FBpp0294064
FBgn0031359	FBtr0306167	FBpp0297297
FBgn0031360	FBtr0077884	FBpp0077552
FBgn0031361	FBtr0077904	FBpp0077570
FBgn0031361	FBtr0333543	FBpp0305723
FBgn0031364	FBtr0077887	FBpp0077555
FBgn0031365	FBtr0077901	FBpp0077567
FBgn0031367	FBtr0077894	FBpp0077562
FBgn0031372	FBtr0077891	FBpp0077559
FBgn0031372	FBtr0334824	FBpp0306858
FBgn0031373	FBtr0473589	FBpp0423052
FBgn0031373	FBtr0473590	FBpp0423053
FBgn0031374	FBtr0077811	FBpp0077488
FBgn0031374	FBtr0110882	FBpp0110182
FBgn0031374	FBtr0110883	FBpp0110183
FBgn0031374	FBtr0113011	FBpp0111924
FBgn0031374	FBtr0113012	FBpp0111925
FBgn0031374	FBtr0309828	FBpp0301564
FBgn0031374	FBtr0333006	FBpp0305221
FBgn0031374	FBtr0333007	FBpp0305222
FBgn0031375	FBtr0077870	FBpp0077539
FBgn0031375	FBtr0330200	FBpp0303233
FBgn0031375	FBtr0330201	FBpp0303234
FBgn0031375	FBtr0330202	FBpp0303235
FBgn0031377	FBtr0077869	FBpp0077538
FBgn0031378	FBtr0077814	FBpp0077490
FBgn0031379	FBtr0077815	FBpp0077491
FBgn0031381	FBtr0077816	FBpp0077492
FBgn0031384	FBtr0301066	FBpp0290288
FBgn0031384	FBtr0301067	FBpp0290289
FBgn0031384	FBtr0301068	FBpp0290290
FBgn0031384	FBtr0330671	FBpp0303521
FBgn0031384	FBtr0330672	FBpp0303522
FBgn0031384	FBtr0334773	FBpp0306829
FBgn0031384	FBtr0334774	FBpp0306830
FBgn0031388	FBtr0077827	FBpp0077500
FBgn0031388	FBtr0334779	FBpp0306833
FBgn0031389	FBtr0077854	FBpp0077526
FBgn0031389	FBtr0334781	FBpp0306834
FBgn0031390	FBtr0077853	FBpp0077525
FBgn0031390	FBtr0301660	FBpp0290874
FBgn0031390	FBtr0334814	FBpp0306851
FBgn0031391	FBtr0077852	FBpp0077524
FBgn0031391	FBtr0334813	FBpp0306850
FBgn0031392	FBtr0077830	FBpp0077503
FBgn0031392	FBtr0077831	FBpp0077504
FBgn0031392	FBtr0330657	FBpp0303507
FBgn0031393	FBtr0077832	FBpp0077505
FBgn0031395	FBtr0077848	FBpp0077520
FBgn0031395	FBtr0077849	FBpp0077521
FBgn0031395	FBtr0308189	FBpp0300509
FBgn0031395	FBtr0330664	FBpp0303514
FBgn0031397	FBtr0077845	FBpp0077517
FBgn0031397	FBtr0331649	FBpp0304039
FBgn0031398	FBtr0077843	FBpp0077515
FBgn0031398	FBtr0330675	FBpp0303525
FBgn0031399	FBtr0077835	FBpp0077507
FBgn0031401	FBtr0077836	FBpp0077508
FBgn0031401	FBtr0077837	FBpp0077509
FBgn0031401	FBtr0077838	FBpp0077510
FBgn0031401	FBtr0077839	FBpp0077511
FBgn0031403	FBtr0113015	FBpp0111928
FBgn0031406	FBtr0077804	FBpp0077481
FBgn0031407	FBtr0077754	FBpp0077434
FBgn0031407	FBtr0077755	FBpp0077435
FBgn0031409	FBtr0077756	FBpp0077436
FBgn0031410	FBtr0077801	FBpp0077478
FBgn0031412	FBtr0077758	FBpp0077438
FBgn0031413	FBtr0077799	FBpp0077476
FBgn0031413	FBtr0100648	FBpp0100109
FBgn0031413	FBtr0333226	FBpp0305428
FBgn0031414	FBtr0344662	FBpp0311004
FBgn0031414	FBtr0344663	FBpp0311005
FBgn0031417	FBtr0077792	FBpp0077469
FBgn0031417	FBtr0330667	FBpp0303517
FBgn0031418	FBtr0077791	FBpp0077468
FBgn0031418	FBtr0303027	FBpp0292146
FBgn0031418	FBtr0331441	FBpp0303858
FBgn0031419	FBtr0077764	FBpp0077444
FBgn0031420	FBtr0077765	FBpp0077445
FBgn0031420	FBtr0077766	FBpp0077446
FBgn0031420	FBtr0331437	FBpp0303854
FBgn0031420	FBtr0331438	FBpp0303855
FBgn0031422	FBtr0077768	FBpp0077448
FBgn0031423	FBtr0077790	FBpp0077467
FBgn0031423	FBtr0331439	FBpp0303856
FBgn0031423	FBtr0331440	FBpp0303857
FBgn0031424	FBtr0077769	FBpp0077449
FBgn0031424	FBtr0307078	FBpp0297921
FBgn0031426	FBtr0307079	FBpp0297922
FBgn0031428	FBtr0077770	FBpp0077450
FBgn0031428	FBtr0335462	FBpp0307439
FBgn0031430	FBtr0077781	FBpp0077460
FBgn0031431	FBtr0077750	FBpp0077430
FBgn0031432	FBtr0335166	FBpp0307160
FBgn0031432	FBtr0335167	FBpp0307161
FBgn0031434	FBtr0077746	FBpp0077426
FBgn0031434	FBtr0344854	FBpp0311169
FBgn0031435	FBtr0077693	FBpp0077377
FBgn0031436	FBtr0077745	FBpp0077425
FBgn0031436	FBtr0273393	FBpp0271901
FBgn0031436	FBtr0335174	FBpp0307167
FBgn0031437	FBtr0077694	FBpp0077378
FBgn0031437	FBtr0335170	FBpp0307163
FBgn0031440	FBtr0114513	FBpp0113005
FBgn0031441	FBtr0077743	FBpp0077423
FBgn0031442	FBtr0077697	FBpp0077381
FBgn0031443	FBtr0077699	FBpp0077383
FBgn0031443	FBtr0332513	FBpp0304788
FBgn0031444	FBtr0077700	FBpp0077384
FBgn0031446	FBtr0300986	FBpp0290208
FBgn0031449	FBtr0077705	FBpp0077389
FBgn0031449	FBtr0077706	FBpp0077390
FBgn0031449	FBtr0077707	FBpp0077391
FBgn0031449	FBtr0077708	FBpp0077392
FBgn0031449	FBtr0334158	FBpp0306275
FBgn0031449	FBtr0334159	FBpp0306276
FBgn0031449	FBtr0334160	FBpp0306277
FBgn0031449	FBtr0334161	FBpp0306278
FBgn0031450	FBtr0089749	FBpp0088690
FBgn0031450	FBtr0089750	FBpp0088691
FBgn0031450	FBtr0089751	FBpp0088692
FBgn0031451	FBtr0077740	FBpp0077420
FBgn0031451	FBtr0330719	FBpp0303563
FBgn0031452	FBtr0077712	FBpp0077396
FBgn0031453	FBtr0077713	FBpp0077397
FBgn0031453	FBtr0077714	FBpp0077398
FBgn0031453	FBtr0307080	FBpp0297923
FBgn0031453	FBtr0335125	FBpp0307124
FBgn0031454	FBtr0100383	FBpp0099795
FBgn0031455	FBtr0077737	FBpp0077417
FBgn0031456	FBtr0077715	FBpp0077399
FBgn0031456	FBtr0335126	FBpp0307125
FBgn0031457	FBtr0077736	FBpp0077416
FBgn0031457	FBtr0335129	FBpp0307128
FBgn0031458	FBtr0077716	FBpp0077400
FBgn0031458	FBtr0335127	FBpp0307126
FBgn0031459	FBtr0077718	FBpp0077402
FBgn0031459	FBtr0077719	FBpp0077403
FBgn0031459	FBtr0335128	FBpp0307127
FBgn0031460	FBtr0077730	FBpp0077413
FBgn0031461	FBtr0077720	FBpp0077404
FBgn0031461	FBtr0077721	FBpp0077405
FBgn0031461	FBtr0335151	FBpp0307150
FBgn0031462	FBtr0077722	FBpp0077406
FBgn0031463	FBtr0113017	FBpp0111930
FBgn0031465	FBtr0077723	FBpp0077407
FBgn0031466	FBtr0077691	FBpp0077375
FBgn0031466	FBtr0077692	FBpp0077376
FBgn0031467	FBtr0077618	FBpp0077304
FBgn0031468	FBtr0077619	FBpp0077305
FBgn0031469	FBtr0273251	FBpp0271759
FBgn0031470	FBtr0077689	FBpp0077373
FBgn0031471	FBtr0300356	FBpp0289585
FBgn0031472	FBtr0335130	FBpp0307129
FBgn0031473	FBtr0077686	FBpp0077370
FBgn0031473	FBtr0077687	FBpp0077371
FBgn0031473	FBtr0335132	FBpp0307131
FBgn0031474	FBtr0077625	FBpp0077310
FBgn0031474	FBtr0077626	FBpp0077311
FBgn0031474	FBtr0077627	FBpp0077312
FBgn0031476	FBtr0077628	FBpp0077313
FBgn0031478	FBtr0077629	FBpp0077314
FBgn0031479	FBtr0077684	FBpp0077368
FBgn0031483	FBtr0077676	FBpp0077360
FBgn0031483	FBtr0077677	FBpp0077361
FBgn0031484	FBtr0077642	FBpp0077327
FBgn0031484	FBtr0343781	FBpp0310346
FBgn0031485	FBtr0077675	FBpp0077359
FBgn0031485	FBtr0343783	FBpp0310348
FBgn0031488	FBtr0077646	FBpp0077331
FBgn0031489	FBtr0077671	FBpp0077355
FBgn0031489	FBtr0077672	FBpp0077356
FBgn0031489	FBtr0300815	FBpp0290039
FBgn0031489	FBtr0331629	FBpp0304019
FBgn0031490	FBtr0077647	FBpp0077332
FBgn0031490	FBtr0331628	FBpp0304018
FBgn0031491	FBtr0077670	FBpp0077354
FBgn0031492	FBtr0077648	FBpp0077333
FBgn0031493	FBtr0077669	FBpp0077353
FBgn0031493	FBtr0335484	FBpp0307457
FBgn0031494	FBtr0077650	FBpp0077335
FBgn0031495	FBtr0077651	FBpp0077336
FBgn0031495	FBtr0077652	FBpp0077337
FBgn0031495	FBtr0344734	FBpp0311066
FBgn0031495	FBtr0344735	FBpp0311067
FBgn0031496	FBtr0300814	FBpp0290038
FBgn0031496	FBtr0335481	FBpp0307455
FBgn0031496	FBtr0335482	FBpp0307456
FBgn0031497	FBtr0077667	FBpp0077351
FBgn0031497	FBtr0335480	FBpp0307454
FBgn0031498	FBtr0077653	FBpp0077338
FBgn0031498	FBtr0335478	FBpp0307452
FBgn0031498	FBtr0344088	FBpp0310513
FBgn0031500	FBtr0077654	FBpp0077339
FBgn0031500	FBtr0077655	FBpp0077340
FBgn0031500	FBtr0335479	FBpp0307453
FBgn0031501	FBtr0077656	FBpp0077341
FBgn0031501	FBtr0335385	FBpp0307369
FBgn0031504	FBtr0077661	FBpp0077345
FBgn0031505	FBtr0077617	FBpp0077303
FBgn0031505	FBtr0329905	FBpp0302939
FBgn0031512	FBtr0077578	FBpp0077266
FBgn0031512	FBtr0344142	FBpp0310556
FBgn0031513	FBtr0301033	FBpp0290255
FBgn0031513	FBtr0340587	FBpp0309469
FBgn0031514	FBtr0077608	FBpp0077295
FBgn0031514	FBtr0077609	FBpp0077296
FBgn0031514	FBtr0340589	FBpp0309470
FBgn0031514	FBtr0344796	FBpp0311124
FBgn0031515	FBtr0077605	FBpp0077292
FBgn0031515	FBtr0077606	FBpp0077293
FBgn0031515	FBtr0077607	FBpp0077294
FBgn0031515	FBtr0305575	FBpp0294026
FBgn0031516	FBtr0077604	FBpp0077291
FBgn0031517	FBtr0077580	FBpp0077268
FBgn0031518	FBtr0114460	FBpp0112952
FBgn0031519	FBtr0077603	FBpp0077290
FBgn0031519	FBtr0331372	FBpp0303790
FBgn0031520	FBtr0077583	FBpp0077271
FBgn0031520	FBtr0339546	FBpp0308629
FBgn0031522	FBtr0077586	FBpp0077274
FBgn0031522	FBtr0339547	FBpp0308630
FBgn0031523	FBtr0077587	FBpp0077275
FBgn0031526	FBtr0077588	FBpp0077276
FBgn0031528	FBtr0113018	FBpp0111931
FBgn0031528	FBtr0332408	FBpp0304681
FBgn0031529	FBtr0077594	FBpp0077282
FBgn0031529	FBtr0332407	FBpp0304680
FBgn0031530	FBtr0077592	FBpp0099799
FBgn0031530	FBtr0303992	FBpp0292961
FBgn0031531	FBtr0077590	FBpp0077278
FBgn0031533	FBtr0077516	FBpp0077205
FBgn0031534	FBtr0077517	FBpp0077206
FBgn0031534	FBtr0343238	FBpp0309920
FBgn0031535	FBtr0113019	FBpp0111932
FBgn0031536	FBtr0077573	FBpp0077262
FBgn0031538	FBtr0077572	FBpp0077261
FBgn0031540	FBtr0077569	FBpp0077258
FBgn0031540	FBtr0343239	FBpp0309921
FBgn0031542	FBtr0077568	FBpp0077257
FBgn0031544	FBtr0077525	FBpp0077214
FBgn0031544	FBtr0333250	FBpp0305448
FBgn0031545	FBtr0077561	FBpp0077250
FBgn0031546	FBtr0077526	FBpp0077215
FBgn0031546	FBtr0333251	FBpp0305449
FBgn0031547	FBtr0077560	FBpp0077249
FBgn0031548	FBtr0089937	FBpp0088876
FBgn0031549	FBtr0301590	FBpp0290805
FBgn0031550	FBtr0077529	FBpp0077218
FBgn0031554	FBtr0077556	FBpp0077245
FBgn0031554	FBtr0446100	FBpp0402802
FBgn0031558	FBtr0077550	FBpp0077239
FBgn0031558	FBtr0339575	FBpp0308650
FBgn0031559	FBtr0077549	FBpp0077238
FBgn0031560	FBtr0077547	FBpp0077236
FBgn0031561	FBtr0077546	FBpp0077235
FBgn0031561	FBtr0345610	FBpp0311679
FBgn0031562	FBtr0077545	FBpp0077234
FBgn0031562	FBtr0346581	FBpp0312172
FBgn0031563	FBtr0077544	FBpp0077233
FBgn0031564	FBtr0300299	FBpp0289527
FBgn0031566	FBtr0077537	FBpp0077226
FBgn0031566	FBtr0077538	FBpp0077227
FBgn0031568	FBtr0479853	FBpp0428189
FBgn0031568	FBtr0479854	FBpp0428190
FBgn0031571	FBtr0077496	FBpp0077185
FBgn0031571	FBtr0307051	FBpp0297894
FBgn0031571	FBtr0307052	FBpp0297895
FBgn0031573	FBtr0077515	FBpp0077204
FBgn0031574	FBtr0077501	FBpp0077190
FBgn0031574	FBtr0077502	FBpp0077191
FBgn0031574	FBtr0334832	FBpp0306861
FBgn0031575	FBtr0077504	FBpp0077193
FBgn0031575	FBtr0301082	FBpp0290304
FBgn0031579	FBtr0077505	FBpp0077194
FBgn0031580	FBtr0077506	FBpp0077195
FBgn0031585	FBtr0077468	FBpp0077157
FBgn0031589	FBtr0077479	FBpp0077168
FBgn0031589	FBtr0077480	FBpp0077169
FBgn0031589	FBtr0077481	FBpp0077170
FBgn0031589	FBtr0077482	FBpp0077171
FBgn0031589	FBtr0077483	FBpp0077172
FBgn0031589	FBtr0113020	FBpp0111933
FBgn0031589	FBtr0334791	FBpp0306839
FBgn0031589	FBtr0334792	FBpp0306840
FBgn0031589	FBtr0481647	FBpp0428429
FBgn0031590	FBtr0077477	FBpp0077166
FBgn0031590	FBtr0334790	FBpp0306838
FBgn0031592	FBtr0077476	FBpp0077165
FBgn0031592	FBtr0345748	FBpp0311769
FBgn0031596	FBtr0077428	FBpp0077118
FBgn0031596	FBtr0334400	FBpp0306503
FBgn0031597	FBtr0077463	FBpp0077152
FBgn0031597	FBtr0077464	FBpp0077153
FBgn0031598	FBtr0077462	FBpp0077151
FBgn0031600	FBtr0077460	FBpp0077149
FBgn0031601	FBtr0077435	FBpp0077125
FBgn0031602	FBtr0077459	FBpp0077148
FBgn0031602	FBtr0331436	FBpp0303853
FBgn0031603	FBtr0077438	FBpp0077128
FBgn0031603	FBtr0331434	FBpp0303851
FBgn0031603	FBtr0331435	FBpp0303852
FBgn0031604	FBtr0077439	FBpp0077129
FBgn0031606	FBtr0077455	FBpp0077145
FBgn0031607	FBtr0077454	FBpp0077144
FBgn0031608	FBtr0077441	FBpp0077131
FBgn0031608	FBtr0345632	FBpp0311696
FBgn0031609	FBtr0077450	FBpp0077140
FBgn0031609	FBtr0335134	FBpp0307133
FBgn0031610	FBtr0077442	FBpp0077132
FBgn0031611	FBtr0077443	FBpp0077133
FBgn0031613	FBtr0077444	FBpp0077134
FBgn0031617	FBtr0300354	FBpp0289583
FBgn0031619	FBtr0077376	FBpp0077068
FBgn0031619	FBtr0100560	FBpp0100012
FBgn0031620	FBtr0077377	FBpp0077069
FBgn0031620	FBtr0343222	FBpp0309911
FBgn0031621	FBtr0077378	FBpp0077070
FBgn0031622	FBtr0077422	FBpp0077113
FBgn0031623	FBtr0077420	FBpp0077111
FBgn0031626	FBtr0077419	FBpp0077110
FBgn0031626	FBtr0343223	FBpp0309912
FBgn0031627	FBtr0077418	FBpp0077109
FBgn0031628	FBtr0077381	FBpp0077073
FBgn0031628	FBtr0077382	FBpp0077074
FBgn0031630	FBtr0077383	FBpp0077075
FBgn0031631	FBtr0077416	FBpp0077107
FBgn0031632	FBtr0077384	FBpp0077076
FBgn0031632	FBtr0336962	FBpp0307905
FBgn0031633	FBtr0077415	FBpp0077106
FBgn0031633	FBtr0336961	FBpp0307904
FBgn0031634	FBtr0289979	FBpp0288417
FBgn0031634	FBtr0332480	FBpp0304756
FBgn0031634	FBtr0336959	FBpp0307902
FBgn0031634	FBtr0336960	FBpp0307903
FBgn0031635	FBtr0077412	FBpp0077103
FBgn0031635	FBtr0077413	FBpp0077104
FBgn0031636	FBtr0077385	FBpp0077077
FBgn0031636	FBtr0300756	FBpp0289980
FBgn0031636	FBtr0332476	FBpp0304752
FBgn0031637	FBtr0077409	FBpp0077100
FBgn0031637	FBtr0077410	FBpp0077101
FBgn0031637	FBtr0077411	FBpp0077102
FBgn0031637	FBtr0300941	FBpp0290163
FBgn0031637	FBtr0332477	FBpp0304753
FBgn0031637	FBtr0332478	FBpp0304754
FBgn0031637	FBtr0332479	FBpp0304755
FBgn0031638	FBtr0077386	FBpp0077078
FBgn0031639	FBtr0077408	FBpp0077099
FBgn0031640	FBtr0077387	FBpp0077079
FBgn0031643	FBtr0077389	FBpp0077081
FBgn0031644	FBtr0077390	FBpp0077082
FBgn0031645	FBtr0077391	FBpp0077083
FBgn0031645	FBtr0336832	FBpp0307796
FBgn0031646	FBtr0077401	FBpp0077092
FBgn0031646	FBtr0077402	FBpp0077093
FBgn0031646	FBtr0077403	FBpp0077094
FBgn0031646	FBtr0113021	FBpp0111934
FBgn0031649	FBtr0077394	FBpp0077085
FBgn0031650	FBtr0078990	FBpp0078629
FBgn0031651	FBtr0079058	FBpp0078694
FBgn0031652	FBtr0079057	FBpp0078693
FBgn0031652	FBtr0110896	FBpp0110196
FBgn0031653	FBtr0079056	FBpp0078692
FBgn0031654	FBtr0079055	FBpp0078691
FBgn0031654	FBtr0345335	FBpp0311491
FBgn0031655	FBtr0078992	FBpp0078631
FBgn0031657	FBtr0078994	FBpp0078633
FBgn0031659	FBtr0078995	FBpp0078634
FBgn0031660	FBtr0078996	FBpp0078635
FBgn0031660	FBtr0331227	FBpp0303669
FBgn0031661	FBtr0079049	FBpp0078685
FBgn0031662	FBtr0078997	FBpp0078636
FBgn0031663	FBtr0079048	FBpp0078684
FBgn0031664	FBtr0079045	FBpp0078681
FBgn0031664	FBtr0079046	FBpp0078682
FBgn0031664	FBtr0306011	FBpp0297153
FBgn0031664	FBtr0331228	FBpp0303670
FBgn0031668	FBtr0079037	FBpp0078673
FBgn0031670	FBtr0079000	FBpp0078639
FBgn0031670	FBtr0332411	FBpp0304684
FBgn0031670	FBtr0332412	FBpp0304685
FBgn0031673	FBtr0079033	FBpp0078669
FBgn0031673	FBtr0079034	FBpp0078670
FBgn0031673	FBtr0079035	FBpp0078671
FBgn0031673	FBtr0301905	FBpp0291119
FBgn0031673	FBtr0301906	FBpp0291120
FBgn0031673	FBtr0301907	FBpp0291121
FBgn0031673	FBtr0333539	FBpp0305719
FBgn0031675	FBtr0079032	FBpp0078668
FBgn0031675	FBtr0301206	FBpp0290424
FBgn0031675	FBtr0333538	FBpp0305718
FBgn0031675	FBtr0345751	FBpp0311772
FBgn0031676	FBtr0079009	FBpp0078648
FBgn0031677	FBtr0079029	FBpp0078666
FBgn0031678	FBtr0079028	FBpp0078665
FBgn0031681	FBtr0079026	FBpp0078663
FBgn0031681	FBtr0111024	FBpp0110323
FBgn0031682	FBtr0079018	FBpp0078657
FBgn0031682	FBtr0329981	FBpp0303016
FBgn0031683	FBtr0079019	FBpp0078658
FBgn0031683	FBtr0329982	FBpp0303017
FBgn0031683	FBtr0329983	FBpp0303018
FBgn0031684	FBtr0079025	FBpp0078662
FBgn0031684	FBtr0345333	FBpp0311489
FBgn0031684	FBtr0345334	FBpp0311490
FBgn0031688	FBtr0079061	FBpp0078697
FBgn0031689	FBtr0079062	FBpp0078698
FBgn0031690	FBtr0079092	FBpp0078725
FBgn0031690	FBtr0342940	FBpp0309717
FBgn0031690	FBtr0342941	FBpp0309718
FBgn0031690	FBtr0346461	FBpp0312111
FBgn0031692	FBtr0079063	FBpp0078699
FBgn0031692	FBtr0342931	FBpp0309713
FBgn0031692	FBtr0346458	FBpp0312108
FBgn0031693	FBtr0079066	FBpp0078701
FBgn0031694	FBtr0300456	FBpp0289683
FBgn0031695	FBtr0079068	FBpp0078703
FBgn0031696	FBtr0079069	FBpp0078704
FBgn0031696	FBtr0342934	FBpp0309714
FBgn0031696	FBtr0346455	FBpp0312105
FBgn0031697	FBtr0079082	FBpp0078716
FBgn0031697	FBtr0329970	FBpp0303005
FBgn0031698	FBtr0307040	FBpp0297883
FBgn0031698	FBtr0307041	FBpp0297884
FBgn0031698	FBtr0329969	FBpp0303004
FBgn0031700	FBtr0079080	FBpp0078714
FBgn0031700	FBtr0343227	FBpp0309916
FBgn0031701	FBtr0079073	FBpp0078708
FBgn0031701	FBtr0307036	FBpp0297879
FBgn0031702	FBtr0079078	FBpp0078712
FBgn0031702	FBtr0079079	FBpp0078713
FBgn0031702	FBtr0307037	FBpp0297880
FBgn0031702	FBtr0307038	FBpp0297881
FBgn0031702	FBtr0307039	FBpp0297882
FBgn0031702	FBtr0343226	FBpp0309915
FBgn0031703	FBtr0079077	FBpp0078711
FBgn0031707	FBtr0079094	FBpp0078727
FBgn0031707	FBtr0329966	FBpp0303001
FBgn0031708	FBtr0079130	FBpp0078761
FBgn0031710	FBtr0079129	FBpp0078760
FBgn0031711	FBtr0079096	FBpp0078729
FBgn0031711	FBtr0343257	FBpp0309927
FBgn0031713	FBtr0079128	FBpp0078759
FBgn0031715	FBtr0079127	FBpp0078758
FBgn0031716	FBtr0079126	FBpp0078757
FBgn0031717	FBtr0079101	FBpp0078734
FBgn0031717	FBtr0079102	FBpp0078735
FBgn0031717	FBtr0307060	FBpp0297903
FBgn0031717	FBtr0307061	FBpp0297904
FBgn0031717	FBtr0307062	FBpp0297905
FBgn0031717	FBtr0307063	FBpp0297906
FBgn0031717	FBtr0307064	FBpp0297907
FBgn0031717	FBtr0331675	FBpp0304065
FBgn0031718	FBtr0114511	FBpp0113003
FBgn0031719	FBtr0079103	FBpp0078736
FBgn0031720	FBtr0079121	FBpp0078752
FBgn0031721	FBtr0079104	FBpp0078737
FBgn0031722	FBtr0079118	FBpp0078749
FBgn0031722	FBtr0079119	FBpp0078750
FBgn0031722	FBtr0079120	FBpp0078751
FBgn0031723	FBtr0079117	FBpp0078748
FBgn0031723	FBtr0345749	FBpp0311770
FBgn0031724	FBtr0079109	FBpp0078741
FBgn0031725	FBtr0302933	FBpp0292059
FBgn0031725	FBtr0343246	FBpp0309925
FBgn0031726	FBtr0343243	FBpp0309923
FBgn0031726	FBtr0343244	FBpp0309924
FBgn0031728	FBtr0079110	FBpp0078742
FBgn0031728	FBtr0079111	FBpp0078743
FBgn0031728	FBtr0079112	FBpp0078744
FBgn0031729	FBtr0302949	FBpp0292075
FBgn0031729	FBtr0305128	FBpp0293658
FBgn0031729	FBtr0343385	FBpp0310040
FBgn0031730	FBtr0302950	FBpp0292076
FBgn0031730	FBtr0343387	FBpp0310041
FBgn0031730	FBtr0343388	FBpp0310042
FBgn0031730	FBtr0343389	FBpp0310043
FBgn0031731	FBtr0343392	FBpp0310045
FBgn0031732	FBtr0079168	FBpp0078799
FBgn0031732	FBtr0079169	FBpp0078800
FBgn0031732	FBtr0300695	FBpp0289919
FBgn0031732	FBtr0300696	FBpp0289920
FBgn0031732	FBtr0332556	FBpp0304814
FBgn0031733	FBtr0079167	FBpp0078798
FBgn0031733	FBtr0332555	FBpp0304813
FBgn0031734	FBtr0079165	FBpp0078796
FBgn0031734	FBtr0079166	FBpp0078797
FBgn0031735	FBtr0079136	FBpp0078767
FBgn0031736	FBtr0079135	FBpp0078766
FBgn0031736	FBtr0332554	FBpp0304812
FBgn0031737	FBtr0079163	FBpp0078794
FBgn0031737	FBtr0079164	FBpp0078795
FBgn0031738	FBtr0301234	FBpp0290452
